지점,지점명,일시,일강수량(mm)
90,속초,2016-02-18,0.0
90,속초,2016-02-23,0.5
90,속초,2016-02-24,2.0
90,속초,2016-02-25,0.0
90,속초,2016-02-28,6.0
90,속초,2016-03-05,18.2
90,속초,2016-03-09,11.5
90,속초,2016-03-23,2.1
90,속초,2016-03-25,0.0
90,속초,2016-03-29,0.0
90,속초,2016-04-03,2.1
90,속초,2016-04-07,10.4
90,속초,2016-04-10,0.2
90,속초,2016-04-11,0.0
90,속초,2016-04-13,0.0
90,속초,2016-04-16,32.3
90,속초,2016-04-17,11.2
90,속초,2016-04-18,11.4
90,속초,2016-04-20,0.0
90,속초,2016-04-21,9.9
90,속초,2016-04-30,0.0
90,속초,2016-05-02,2.7
90,속초,2016-05-03,3.8
90,속초,2016-05-04,0.6
90,속초,2016-05-06,0.5
90,속초,2016-05-10,20.5
90,속초,2016-05-11,0.2
90,속초,2016-05-15,4.7
90,속초,2016-05-16,0.7
90,속초,2016-05-23,0.0
90,속초,2016-05-24,1.9
90,속초,2016-05-26,0.1
90,속초,2016-06-02,0.5
90,속초,2016-06-03,0.4
90,속초,2016-06-07,0.0
90,속초,2016-06-08,0.4
90,속초,2016-06-11,0.1
90,속초,2016-06-12,30.9
90,속초,2016-06-13,0.0
90,속초,2016-06-14,1.3
90,속초,2016-06-15,8.8
90,속초,2016-06-16,0.0
90,속초,2016-06-19,0.0
90,속초,2016-06-22,4.3
90,속초,2016-06-23,0.0
90,속초,2016-06-24,10.0
90,속초,2016-06-29,0.3
90,속초,2016-06-30,5.2
90,속초,2016-07-01,80.0
90,속초,2016-07-02,14.8
90,속초,2016-07-04,35.7
90,속초,2016-07-05,206.4
90,속초,2016-07-06,2.3
90,속초,2016-07-12,1.2
90,속초,2016-07-14,7.3
90,속초,2016-07-15,0.2
90,속초,2016-07-16,110.6
90,속초,2016-07-17,3.4
90,속초,2016-07-20,0.2
90,속초,2016-07-23,1.3
90,속초,2016-07-24,3.9
90,속초,2016-07-27,0.0
90,속초,2016-07-28,2.6
90,속초,2016-07-29,0.2
90,속초,2016-07-31,7.7
90,속초,2016-08-01,26.8
90,속초,2016-08-08,8.6
90,속초,2016-08-14,0.2
90,속초,2016-08-16,5.2
90,속초,2016-08-19,5.8
90,속초,2016-08-21,3.4
90,속초,2016-08-25,31.5
90,속초,2016-08-26,18.9
90,속초,2016-08-27,0.0
90,속초,2016-08-28,65.4
90,속초,2016-08-29,14.5
90,속초,2016-08-30,5.6
90,속초,2016-08-31,1.0
90,속초,2016-09-01,3.5
90,속초,2016-09-02,0.0
90,속초,2016-09-03,17.9
90,속초,2016-09-04,2.4
90,속초,2016-09-05,0.1
90,속초,2016-09-08,0.3
90,속초,2016-09-09,16.2
90,속초,2016-09-10,9.3
90,속초,2016-09-11,8.7
90,속초,2016-09-12,41.8
90,속초,2016-09-13,0.7
90,속초,2016-09-17,0.1
90,속초,2016-09-18,0.8
90,속초,2016-09-19,0.0
90,속초,2016-09-27,2.9
90,속초,2016-09-28,21.2
90,속초,2016-09-29,0.1
90,속초,2016-10-02,14.3
90,속초,2016-10-03,52.3
90,속초,2016-10-04,0.0
90,속초,2016-10-05,9.3
90,속초,2016-10-06,1.2
90,속초,2016-10-07,3.2
90,속초,2016-10-08,0.0
90,속초,2016-10-12,0.0
90,속초,2016-10-18,1.0
90,속초,2016-10-20,2.2
90,속초,2016-10-21,14.9
90,속초,2016-10-22,5.5
90,속초,2016-10-23,2.6
90,속초,2016-10-25,9.3
90,속초,2016-10-27,0.0
90,속초,2016-10-28,4.1
90,속초,2016-10-29,8.6
90,속초,2016-11-05,1.8
90,속초,2016-11-06,17.3
90,속초,2016-11-07,1.4
90,속초,2016-11-08,7.8
90,속초,2016-11-10,0.0
90,속초,2016-11-11,0.0
90,속초,2016-11-13,0.0
90,속초,2016-11-22,12.5
90,속초,2016-11-23,0.0
90,속초,2016-11-26,0.0
90,속초,2016-11-29,0.0
90,속초,2016-11-30,0.0
90,속초,2016-12-05,0.0
90,속초,2016-12-09,0.0
90,속초,2016-12-13,11.0
90,속초,2016-12-14,16.2
90,속초,2016-12-19,0.0
90,속초,2016-12-21,23.4
90,속초,2016-12-22,34.9
90,속초,2016-12-23,0.0
90,속초,2016-12-26,0.0
90,속초,2016-12-27,36.2
90,속초,2017-01-05,15.5
90,속초,2017-01-06,0.0
90,속초,2017-01-07,0.5
90,속초,2017-01-08,13.5
90,속초,2017-01-09,0.0
90,속초,2017-01-20,29.3
90,속초,2017-01-21,0.0
90,속초,2017-01-22,0.0
90,속초,2017-01-27,0.0
90,속초,2017-01-29,6.8
90,속초,2017-01-30,16.8
90,속초,2017-02-05,0.0
90,속초,2017-02-17,0.0
90,속초,2017-02-18,0.0
90,속초,2017-02-20,0.0
90,속초,2017-02-22,3.2
90,속초,2017-02-27,0.0
