ACT,Movie1,Movie2,Movie3,Movie4,Movie5,Movie6,Movie7,Movie8,Movie9,Movie10
IRON FIST (Danny Rand),Iron Fist,The Defenders,Luke Cage,,,,,,,
COLLEEN WING,Iron Fist,Luke Cage,The Defenders,,,,,,,
STEEL SERPENT (Davos),Iron Fist,,,,,,,,,
TYPHOID MARY (Mary Walker),Iron Fist,,,,,,,,,
MADAME GAO,Daredevil,The Defenders,Iron Fist,,,,,,,
HAROLD MEACHUM,Iron Fist,,,,,,,,,
JOY MEACHUM,Iron Fist,,,,,,,,,
WARD MEACHUM,Iron Fist,,,,,,,,,
CHASE STEIN,Runaways,,,,,,,,,
KAROLINA DEAN,Runaways,,,,,,,,,
NICO MINORU,Runaways,,,,,,,,,
GERTRUDE YORKES,Runaways,,,,,,,,,
MOLLY HERNANDEZ,Runaways,,,,,,,,,
ALEX WILDER,Runaways,,,,,,,,,
VICTOR STEIN,Runaways,,,,,,,,,
JONAH,Runaways,,,,,,,,,
CLOAK (Tyrone Johnson),Cloak and Dagger,,,,,,,,,
DAGGER (Tandy Bowen),Cloak and Dagger,,,,,,,,,
BLACK BOLT,Inhumans,,,,,,,,,
MEDUSA,Inhumans,,,,,,,,,
MAXIMUS,Inhumans,,,,,,,,,
CRYSTAL,Inhumans,,,,,,,,,
KARNAK,Inhumans,,,,,,,,,
TRITON,Inhumans,,,,,,,,,
GORGON,Inhumans,,,,,,,,,
AGENT PHIL COULSON,Iron Man,Iron Man 2,Thor,The Avengers,Captain Marvel,Agents of Shield,,,,
SENATOR STERN,Iron Man 2,Captain America: The Winter Soldier,,,,,,,,
COUNCILWOMAN HAWLEY,The Avengers,Captain America: The Winter Soldier,,,,,,,,
AGENT SITWELL,Thor,The Avengers,Captain America: The Winter Soldier,Agents of Shield,,,,,,
PRESIDENT ELLIS,Iron Man 3,Agents of Shield,,,,,,,,
MELINDA MAY,Agents of Shield,,,,,,,,,
DAISY JOHNSON,Agents of Shield,,,,,,,,,
MOCKINGBIRD (Bobbi Morse),Agents of Shield,,,,,,,,,
LANCE HUNTER,Agents of Shield,,,,,,,,,
PATRIOT (Jeffrey Mace),Agents of Shield,,,,,,,,,
MACK MACKENZIE,Agents of Shield,,,,,,,,,
JENNA SIMMONS,Agents of Shield,,,,,,,,,
LEO FITZ,Agents of Shield,,,,,,,,,
HIVE (Grant Ward),Agents of Shield,,,,,,,,,
RAINA,Agents of Shield,,,,,,,,,
LINCOLN CAMPBELL,Agents of Shield,,,,,,,,,
YO-YO,Agents of Shield,,,,,,,,,
LASH,Agents of Shield,,,,,,,,,
GHOST RIDER (Robbie Reyes),Ghost Rider,Agents of Shield,,,,,,,,
DEATHLOK (Mike Peterson),Agents of Shield,,,,,,,,,
GENERAL RICK STONER,Agents of Shield,,,,,,,,,
ROBERT GONZALES,Agents of Shield,,,,,,,,,
HOLDEN RADCLIFFE,Agents of Shield,,,,,,,,,
MR HYDE (Calvin Zabo),Agents of Shield,,,,,,,,,
JOHN GARRETT,Agents of Shield,,,,,,,,,
GRAVITON (Glenn Talbot),Agents of Shield,,,,,,,,,
BILLY KOENIG,Agents of Shield,,,,,,,,,
EDWIN JARVIS,Agent Carter,,,,,,,,,
ANGIE MARTINELLI,Agent Carter,,,,,,,,,
DOTTIE UNDERWOOD,Agent Carter,,,,,,,,,
DANIEL SOUSA,Agent Carter,,,,,,,,,
HUGH JONES,Agent Carter,,,,,,,,,
JACK THOMPSON,Agent Carter,,,,,,,,,
